feature,importance
Historical_Txn_Count,1771
Customer_Tenure_Days,1094
Transaction_Count,907
Historical_Spend,527
Avg_Days_Between_Purchases,475
Transactions_Per_Month,397
Total_Spend,379
Order_Value_CV,343
Std_Cart_Size,257
Preferred_Day_Encoded,247
Std_Order_Value,243
Avg_Cart_Size,241
Age,221
Frequency,218
Avg_Rating,189
Preferred_Hour,177
Std_Rating,175
Avg_Order_Value,173
Customer_LTV,109
Pct_Processing,107
Category_Entropy,84
Pct_Shipped,81
Unique_Brands,79
Min_Rating,67
Weekend_Purchase_Pct,64
Max_Cart_Size,63
Payment_Method_Changes,48
Frequency_Score,38
Max_Rating,29
Shipping_Method_Changes,18
Unique_Categories,12
Monetary_Score,11
Is_Satisfied_Customer,4
Pct_Cancelled,0
