Column,Data_type,Non_Null_Count,Null_percentage
Transaction_ID,float64,301677,0.11
Customer_ID,float64,301702,0.1
Name,object,301628,0.13
Email,object,301663,0.11
Phone,float64,301648,0.12
Address,object,301695,0.1
City,object,301762,0.08
State,object,301729,0.09
Zipcode,float64,301670,0.11
Country,object,301739,0.09
Age,float64,301837,0.06
Gender,object,301693,0.1
Income,object,301720,0.1
Customer_Segment,object,301795,0.07
Date,object,301651,0.12
Year,float64,301660,0.12
Month,object,301737,0.09
Time,object,301660,0.12
Total_Purchases,float64,301649,0.12
Amount,float64,301653,0.12
Total_Amount,float64,301660,0.12
Product_Category,object,301727,0.09
Product_Brand,object,301729,0.09
Product_Type,object,302010,0.0
Feedback,object,301826,0.06
Shipping_Method,object,301673,0.11
Payment_Method,object,301713,0.1
Order_Status,object,301775,0.08
Ratings,float64,301826,0.06
products,object,302010,0.0
