column,Missing_count,Missing_Percentage,Data_Type
Name,382,0.13,object
Phone,362,0.12,float64
Total_Purchases,361,0.12,float64
Year,350,0.12,float64
Date,359,0.12,object
Time,350,0.12,object
Date_Parsed,359,0.12,datetime64[ns]
Total_Amount,350,0.12,float64
Amount,357,0.12,float64
Shipping_Method,337,0.11,object
Transaction_ID,333,0.11,float64
Email,347,0.11,object
Zipcode,340,0.11,float64
Payment_Method,297,0.1,object
Gender,317,0.1,object
Address,315,0.1,object
Customer_ID,308,0.1,float64
Income,290,0.1,object
Month,273,0.09,object
State,281,0.09,object
Country,271,0.09,object
Product_Brand,281,0.09,object
Product_Category,283,0.09,object
Order_Status,235,0.08,object
City,248,0.08,object
Customer_Segment,215,0.07,object
Age,173,0.06,float64
Feedback,184,0.06,object
Ratings,184,0.06,float64
